parsed,lcvp
Huperzia selago,Huperzia selago (L.) Bernh. ex Mart. & Schrank
Hura crepitans,Hura crepitans L.
Hutchinsonella macrocantha,
Hutchinsoniella,
Hutchinsoniella macracantha,
Huttons,
Huxleyia munita,
Hyala vitrea,
Hyale,
Hyale perieri,
Hyale pontica,
Hyale prevosti,
Hyale prevostii,
Hyale stebbingi,
Hyalella,
Hyalella azteca,
Hyalidae,
Hyalina,
Hyalina lactea,
Hyalina veliei,
Hyalinoecia,
Hyalinoecia juvenalis,
Hyalinoecia tubicola,
Hyalinothrix millespina,
Hyalocintia piriformis,
Hyalocylis striata,
Hyalodiscus,
Hyalonema,
Hyalophora euryalus,
Hyalopoa pontica,Hyalopoa pontica (Balansa) Tzvelev
Hyalopomatus biformis,
Hyalopontius,
Hyaloraphidium,
Hyalospongia,
Hyas,
Hyas araneus,
Hyas coarctatus,
Hyas lyratus,
Hyastenus,
Hyastenus borradailei,
Hyastenus campbelli,
Hyastenus convexus,
Hyastenus elatus,
Hyastenus hilgendorfi,
Hyastenus hyastenus,
Hyastenus sebae,
Hyattella,
Hyattella intestinalis,
Hybanthus verticillatus,Pombalia verticillata (Ortega) Paula-Souza
Hyblaeidae,
Hybocodon prolifer,
Hybognathus hankinsoni,
Hybognathus nuchalis,
Hybopis storeriana,
Hybopsis micropogon,
Hyboscolex,
Hyboscolex longiseta,
Hyboscolex quadricincta,
Hydatina albocincta,
Hydatina physis,
Hydatinidae,
Hydnocarpus alpina,
Hydnocarpus pentandra,
Hydnophora,
Hydnophora exesa,
Hydnophora microconnos,
Hydnophora microconos,
Hydnophora microconus,
Hydnophora rigida,
Hydra,
Hydracarina,
Hydrachna,
Hydrachnidiae,
Hydractinia,
Hydractinia allmani,
Hydractinia echinata,
Hydractinia milleri,
Hydractiniidae,
Hydraecia medialis,
Hydraecia micacea,
Hydraecia petasitis,
Hydrallmania,
Hydrallmania falcata,
Hydranthea margarica,
Hydrasterias sacculata,
Hydrasterias tasmanica,
Hydrelia flammeolaria,
Hydria undulata,
Hydridae,
Hydrilla verticillata,Hydrilla verticillata (L.f.) Royle
Hydriomena edenata,
Hydriomena furcata,
Hydriomena impluviata,
Hydriomena irata,
Hydriomena manzanita,
Hydriomena marinata,
Hydriomena perfracta,
Hydriomena renunciata,
Hydriomena ruberata,
Hydriomena speciosata,
Hydrobates pelagicus,
Hydrobatidae,
Hydrobia,
Hydrobia acuta,
Hydrobia minuta,
Hydrobia salsa,
Hydrobia totteni,
Hydrobia truncata,
Hydrobia ulvae,
Hydrobiidae,
Hydrobius fuscipes,
Hydrochara caraboides,
Hydrochus crenatus,
Hydroclathrus,
Hydroclathrus clathratus,
Hydrocotyle exigua,Hydrocotyle exigua Malme
Hydrocotyle vulgaris,Hydrocotyle vulgaris L.
Hydroglyphus geminus,
Hydroida,
Hydroides,
Hydroides bispinosa,
Hydroides crucigera,
Hydroides dianthus,
Hydroides dirampha,
Hydroides elegans,
Hydroides ezoensis,
Hydroides lunulifera,
Hydroides microtis,
Hydroides norvegica,
Hydroides parvus,
Hydroides protulicola,
Hydroides uncinata,
Hydroidomedusa,
Hydrolagus,
Hydrolagus affinis,
Hydrolagus alberti,
Hydrolagus bemisi,
Hydrolagus colliei,
Hydrolagus lemures,
Hydrolagus mirabilis,
Hydrolagus novaezealandiae,
Hydrolagus ogilbyi,
Hydrolagus trolli,
Hydrolithon,
Hydrolithon cruciatum,
Hydrolithon farinosum,
Hydrolithon reinboldii,
Hydromedusa,
Hydromedusae,
Hydrophasianus chirurgus,
Hydrophilidae,
Hydrophis elegans,
Hydrophis ornatus,
Hydroporus angustatus,
Hydroporus morio,
Hydroporus palustris,
Hydroporus tristis,
Hydropsyche,
Hydropsyche angustipennis,
Hydropsyche instabilis,
Hydropsyche pellucidula,
Hydropsyche saxonica,
Hydropsyche siltalai,
Hydropsychidae,
Hydroptila,
Hydroptila sparsa,
Hydroptilidae,
Hydrosera,
Hydrozetes,
Hydrozoa,
Hydrozoa indet,
Hydrozoans ind,
Hydrurga leptonyx,
Hyeronima oblonga,
Hygophum,
Hygophum benoiti,
Hygophum hanseni,
Hygophum hygomi,
Hygophum hygomii,
Hygophum macrochir,
Hygophum proximum,
Hygophum reinhardti,
Hygophum reinhardtii,
Hygophum taaningi,
Hygrosoma petersii,
Hygrotus decoratus,
Hygrotus impressopunctatus,
Hygrotus inaequalis,
Hyla cineria,
Hylaea fasciaria,
Hylandia dockrillii,Hylandia dockrillii AiryShaw
Hylastes attenuatus,
Hylastes cunicularius,
Hylecoetus dermestoides,
Hyles euphorbiae,
Hyles gallii,
Hyles lineata,
Hylesinus fraxini,
Hylobius abietis,
Hylobius ezoensis,
Hylobius haroldi,
Hylobius piceus,
Hylocichla mustelina,
Hylocomiastrum umbratum,
Hylocomium pyrenaicum,
Hylocomium splendens,
Hylodes asper,
Hylodes phyllodes,
Hyloicus pinastri,
Hylurgops glabratus,
Hylurgops palliatus,
Hymedesmia,
Hymedesmia brondstedi,
Hymedesmia jecusculum,
Hymedesmia pansa,
Hymedesmia paupertas,
Hymenaca reticulata,
Hymenaea courbaril,Hymenaea courbaril L.
Hymenaea stigonocarpa,Hymenaea stigonocarpa Hayne
Hymenalia unicolor,
Hymenaster,
Hymenaster carnosus,
Hymenaster estcourti,
Hymenaster pellucidus,
Hymenaster pullatus,
Hymeniacidon,
Hymeniacidon perleve,
Hymeniacidon perlevis,
Hymeniacidon sanguinea,
Hymeniacidonidae,
Hymenocallis latifolia,Hymenocallis latifolia (Mill.) M.Roem.
Hymenocallis palidosus,
Hymenocephalus,
Hymenocephalus billsam,
Hymenocephalus italicus,
Hymenocephalus longiceps,
Hymenodictyon orixense,Hymenodictyon orixense (Roxb.) Mabb.
Hymenodiscus,
Hymenodiscus aotearoa,
Hymenodora,
Hymenodora acanthitelsonis,
Hymenodora frontalis,
Hymenodora glacialis,
Hymenodora gracilis,
Hymenolobium mesoamericanum,Hymenolobium mesoamericanum H.C.Lima
Hymenopappus corymbosus,Hymenopappus scabiosaeus L'Hér.
Hymenopappus filifolius,Hymenopappus filifolius Hook.
Hymenopappus scabiosaeus,Hymenopappus scabiosaeus L'Hér.
Hymenopenaeus,
Hymenoptera,
Hymenosomatidae,
Hymenoxys richardsonii,Hymenoxys richardsonii (Hook.) Cockerell
Hymenoxys scaposa,Tetraneuris scaposa (DC.) Greene
Hymeraphia stellifera,
Hyotissa fimbriata,
Hyotissa hyotis,
Hypagyrtis unipunctata,
Hypaniola,
Hypatima rhomboidella,
Hypena humuli,
Hypena proboscidalis,
Hypena rostralis,
Hypenodes humidalis,
Hypentelium nigracans,
Hypentelium nigricans,
Hypererythrops caribbaea,
Hypereteone,
Hypereteone fauchaldi,
Hypereteone foliosa,
Hypereteone heteropoda,
Hypereteone lactea,
Hypereteone lighti,
Hypereteone longa,
Hyperia,
Hyperia galba,
Hyperia medusarum,
Hyperia spec,
Hyperia spinigera,
Hypericum hypericoides,Hypericum hypericoides (L.) Crantz
Hypericum maculatum,Hypericum maculatum Crantz
Hypericum perforatum,Hypericum perforatum L.
Hyperiella,
Hyperietta luzoni,
Hyperietta stephenseni,
Hyperietta vosseleri,
Hyperiidae,
Hyperiidea,
Hyperioides longipes,
Hyperiopsis,
Hyperiopsis voringi,
Hyperlophus vittatus,
Hyperoche,
Hyperoche mediterranea,
Hyperoche medusarum,
Hyperoche picta,
Hyperoglyphe antarctica,
Hyperoglyphe perciformis,
Hyperoodon ampullatus,
Hyperoodon planifrons,
Hyperoplus lanceolatus,
Hyperprosopon argenteum,
Hyperprosopon ellipticum,
Hyphalaster inermis,
Hyphalion sagamiense,
Hyphessobrycon anisitsi,
Hyphessobrycon eques,
Hyphochaeris,
Hyphoderma praetermissum,
Hypleurochilus,
Hypleurochilus caudovittatus,
Hypleurochilus geminatus,
Hypleurochilus psuedoaequipinnis,
Hypnea,
Hypnea musciformis,
Hypnea pannosa,
Hypnea spinella,
Hypnea valentiae,
Hypnea yamadae,
Hypnos monopterygium,
Hypnos monopterygius,
Hypnum,
Hypnum bambergeri,
Hypnum cupressiforme,
Hypnum procerrimum,
Hypoatherina harringtonensis,
Hypoatherina tsurugae,
Hypoatherina woodwardi,
Hypobathrium venulosum,
Hypobathrum racemosum,Hypobathrum racemosum (Roxb.) Kurz
Hypocenomyce scalaris,
Hypochaeris radicata,Hypochaeris radicata L.
Hypochaeris uniflora,Hypochaeris uniflora Vill.
Hypochlora alba,
Hypochnicium eichleri,
Hypochnicium punctulatum,
Hypochnicium sphaerosporum,
Hypocolpus punctatus,
Hypocolpus rugosus,
Hypoconcha,
Hypoconcha arcuata,
Hypoconcha sabulosa,
Hypoconcha spinosissima,
Hypocrea rufa,
Hypodiscus albo-aristatus,
Hypodiscus aristatus,Hypodiscus aristatus (Thunb.) C.Krauss
Hypodiscus willdenowia,Hypodiscus willdenowia (Nees) Mast.
Hypogaleus hyugaensis,
Hypoglossum,
Hypoglossum anomalum,
Hypoglossum harveyanum,
Hypoglossum heterocystideum,
Hypoglossum hypoglossoides,
Hypogymnia,
Hypogymnia austerodes,
Hypogymnia farinacea,
Hypogymnia physodes,
Hypogymnia subobscura,
Hypogymnia tubulosa,
Hypolimnas bolina,
Hypolithus motschulskyi,
Hypomecis punctinalis,
Hypomecis roboraria,
Hypomesus pretiosus,
Hypoplectrodes jamesoni,
Hypoplectrodes maccullochi,
Hypoplectrodes nigroruber,
Hypoplectrodes wilsoni,
Hypoplectrus,
Hypoplectrus aberrans,
Hypoplectrus chlorurus,
Hypoplectrus guttavarius,
Hypoplectrus indigo,
Hypoplectrus nigricans,
Hypoplectrus puella,
Hypoplectrus unicolor,
Hypoplectrus unknown,
Hypopleuron caninum,
Hyporhamphus,
Hyporhamphus affinis,
Hyporhamphus australis,
Hyporhamphus dussumieri,
Hyporhamphus ihi,
Hyporhamphus meeki,
Hyporhamphus melanochir,
Hyporhamphus unifasciatus,
Hyporthodus flavolimbatus,
Hyporthodus mystacinus,
Hyporthodus nigritus,
Hyporthodus niveatus,
Hypostomus,
Hypostomus ancistroides,
Hypostomus cochliodon,
Hypostomus iheringii,
Hypostomus regani,
Hypostomus strigaticeps,
Hypoxis decumbens,Hypoxis decumbens L.
Hypoxylon serpens,
Hyppa brunneicrista,
Hyppa indistincta,
Hyppa rectilinea,
Hyppa xylinoides,
Hypsboas albomarginatus,
Hypselaster,
Hypselodoris bennetti,
Hypselodoris infucata,
Hypselodoris obscura,
Hypsiboas albomarginatus,
Hypsiboas albopunctata,
Hypsiboas bandeirantes,
Hypsiboas bischoffi,
Hypsiboas bischoffii,
Hypsiboas caipora,
Hypsiboas faber,
Hypsiboas pardalis,
Hypsiboas raniceps,
Hypsiboas semilineatus,
Hypsicomus,
Hypsicomus phaeotaenia,
Hypsipetes amaurotis,
Hypsoblennius hentz,
Hypsopygia costalis,
Hypsurus caryi,
Hypsypops rubicundus,
Hyptis venuta,
Hyrtios,
Hyssuridae,
Iago garricki,
Ianthella,
Ianthella basta,
Ianthella dying,
Ianthella flabelliformis,
Ianthella quadrangulata,
Ibacus alticrenatus,
Ibacus peronii,
Icasterias,
Icelinus borealis,
Icelinus burchami,
Icelinus filamentosus,
Icelinus tenuis,
Icelozoon,
Icelus bicornis,
Icelus spatula,
Icelus spiniger,
Ichneumonidae,
Ichthyococcus,
Ichthyococcus ovatus,
Ichthyomyzon greeleyi,
Ichthyomyzon unicuspis,
Ichthyoscopus fasciatus,
Ichthyoscopus nigripinnis,
Ichthyscopus barbatus,
Ichthyscopus fasciatus,
Ichthyscopus insperatus,
Ichthyscopus lebeck,
Ichthyscopus nigripinnis,
Icichthys australis,
Icichthys lockingtoni,
Iciligorgia,
Iconaster longimanus,
Icosteus aenigmaticus,
Ictalurus catus,
Ictalurus furcatus,
Ictalurus melas,
Ictalurus punctatus,
Icteria virens,
Icterus bullockii,
Icterus cucullatus,
Icterus galbula,
Icterus parisorum,
Icterus spurius,
Ictinia mississippiensis,
Ictiobud cyprinellus,
Ictiobus bubalus,
Ictiobus cyprinellus,
Ictiobus niger,
Idaea aversata,
Idaea biselata,
Idaea demissaria,
Idaea dimidiata,
Idaea fuscovenosa,
Idaea seriata,
Idanthyrsus,
Idanthyrsus armatus,
Idanthyrsus ornamentatus,
Idanthyrsus saxicavus,
Idarcturus allelomorphus,
Idas,
Idasola,
Idataphe cubensis,
Ideobisium puertoricense,
Ideopsis similis,
Idia aemula,
Idia americalis,
Idiacanthus,
Idiacanthus atlanticus,
Idiacanthus fasciola,
Idiataphe cubensis,
Idiolophorhynchus andriashevi,
Idiospermum australiense,Idiospermum australiense (Diels) S.T.Blake
Idmidronea,
Idmidronea rosacea,
Idmonea,
Idmonea atlantica,
Idotea,
Idotea balthica,
Idotea baltica,
Idotea chelipes,
Idotea emarginata,
Idotea fewkesi,
Idotea granulosa,
Idotea linearis,
Idotea metallica,
Idotea neglecta,
Idotea ochotensis,
Idotea pelagica,
Idotea phosphorea,
Idotea resecata,
Idotea rufescens,
Idoteidae,
Idunella,
Idunella bowenae,
Ifloga ambigua,Ifloga ambigua (L.) Druce
Ifremeria nautilei,
Iguanura wallichiana,Iguanura wallichiana (Mart.) Becc.
Iheyaspira,
Iheyaspira lequios,
Ihlea,
Ihlea magalhanica,
Ijimaia dofleini,
Ilex,
Ilex arnhemensis,Ilex arnhemensis (F.Muell.) Loes.
Ilex brasiliensis,Ilex brasiliensis (Spreng.) Loes.
Ilex brevicuspis,Ilex brevicuspis Reissek
Ilex dumosa,Ilex dumosa Reissek
Ilex macrophylla,Ilex latifolia Thunb. ex A.Murray
Ilex microdonta,Ilex microdonta Reissek
Ilex opaca,Ilex opaca Aiton
Ilex paraguariensis,Ilex paraguariensis A.St.-Hil.
Ilex paraguaryensis,
Ilex theezans,Ilex theezans Mart.
Ilex verticillata,Ilex verticillata (L.) A.Gray
Ilex yurumanguinis,Ilex yurumanguinis Cuatrec.
Iliacantha intermedia,
Iliacantha liodactylus,
Iliacantha sparsa,
Iliacantha subglobosa,
Ilisha elongata,
Ilisha lunula,
Ilisha melastoma,
Illex,
Illex argentinus,
Illex coindeti,
Illex illecebrosus,
Iloricata,
Ilyanassa,
Ilyanassa obsoleta,
Ilyanassa trivittata,
Ilyarachna,
Ilyarachna acarina,
Ilyarachna profunda,
Ilybius aenescens,
Ilybius ater,
Ilybius fuliginosus,
Ilybius guttiger,
Ilybius quadriguttatus,
Ilybius subaeneus,
Ilyocryptus,
Ilyocryptus spinifer,
Ilyodrilus templetoni,
Ilyograpsus nodulosus,
Ilyophis,
Ilyophis arx,
Ilyophis blachei,
Ilyophis brunneus,
Ilyoplax pusilla,
Ilypnus gilberti,
Imantonia,
Imantonia rotunda,
Immergentia,
Imogine exiguus,
Imparfinis mirini,
Imparfinis schubarti,
Imshaugia aleurites,
Inachinae,
Inachis io,
Inachoides forceps,
Inachus,
Inachus dorsettensis,
Inachus leptochirus,
Inachus phalangium,
Inanidrilus,
Inca,
Incirrina,
Incisocalliope bairdi,
Incurvaria masculella,
Indefinido,
Indigo bunting,
Indigofera angustifolia,Indigofera angustifolia L.
Indigofera candolleana,Indigofera candolleana Meisn.
Indigofera cassioides,Indigofera cassioides DC.
Indigofera glomerata,Indigofera glomerata E.Mey.
Indigofera sarmentosa,Indigofera sarmentosa L.f.
Inegocia,
Inegocia guttata,
Inegocia harrisii,
Inegocia japonica,
Inegocia ochiaii,
Inermia vittata,
Inermonephtys,
Inermonephtys inermis,
Inga,
Inga acuminata,Inga acuminata Benth.
Inga alba,Inga alba (Sw.) Willd.
Inga bella,Inga bella M.Sousa
Inga cocleensis,Inga cocleensis Pittier
Inga cylindrica,Inga cylindrica (Vell.) Mart.
Inga edulis,Inga edulis Mart.
Inga fagifolia,Inga laurina (Sw.) Willd.
Inga goldmanii,Inga goldmanii Pittier
Inga laurina,Inga laurina (Sw.) Willd.
Inga luschnathiana,Inga luschnathiana Benth.
Inga marginata,Inga marginata Kunth
Inga mucuna,Inga mucuna Walp.
Inga multicaulis,Inga multicaulis Benth.
Inga multijuga,Inga multijuga Benth.
Inga nobilis,Inga nobilis Willd.
Inga oerstediana,Inga oerstediana Benth.
Inga pezizifera,Inga pezizifera Benth.
Inga punctata,Inga punctata Willd.
Inga ruiziana,Inga ruiziana G.Don
Inga sapindoides,Inga sapindoides Willd.
Inga sertulifera,Inga sertulifera DC.
Inga spectabilis,Inga spectabilis (Vahl) Willd.
Inga striata,Inga striata Benth.
Inga thibaudiana,Inga thibaudiana DC.
Inga umbellifera,Inga umbellifera (Vahl) DC.
Inga unidentified,
Inga uruguensis,Inga uruguensis Hook. & Arn.
Inga villosissima,Inga villosissima Benth.
Inga virescens,Inga virescens Benth.
Ingolfiella,
Ingolfiella fuscina,
Ingolfiellidae,
Iniistius dea,
Iniistius jacksonensis,
Iniistius melanopus,
Inimicus,
Inimicus caledonicus,
Inimicus didactylus,
Inimicus sinensis,
Inodrillia,
Inodrillia aepynota,
Inodrillia carpenteri,
Inopidae,
Inopsetta ischyra,
Inovicellina,
Inquisitor,
Insecta,
Insekten,
Insekten bohater,
Insertae sedis,
Integripelta sextaria,
Intsia palembanica,Intsia palembanica Miq.
Inula salicina,Inula acuminata Royle ex DC.
Inusitatomysis insolita,
Inversiula fertilis,
Inversiula inversa,
Invertebrata,
Iodictyum,
Iodictyum alatum,
Iodictyum fistula,
Iodictyum yaldwyni,
Ionactis alpina,Ionactis alpina (Nutt.) Greene
Ionalyce helicon,
Ione thoracica,
Iophon,
Iophon hyndmani,
Iophonopsis,
Iophonopsis nigricans,
Iothia fulva,
Iotrochota,
Iotrochota baculifera,
Ipelates curtus,
Iphiclides podalirius,
Iphiculus spongiosus,
Iphimedia,
Iphimedia eblanae,
Iphimedia minuta,
Iphimedia nexa,
Iphimedia obesa,
Iphimedia perplexa,
Iphimedia rickettsi,
Iphimedia spatula,
Iphimedia zora,
Iphinoe,
Iphinoe serrata,
Iphinoe trispinosa,
Iphinopsis boucheti,
Iphione,
Ipidia binotata,
Ipimorpha nanaimo,
Ipimorpha subtusa,
Ipnops murrayi,
Ipomoea costellata,Ipomoea costellata Torr.
Ipomoea cristulata,Ipomoea cristulata Hallier.f.
Ipomopsis aggregata,Ipomopsis aggregata (Pursh) V.E.Grant
Ipomopsis laxiflora,Ipomopsis laxiflora (J.M.Coult.) V.E.Grant
Ipomopsis longiflora,Ipomopsis longiflora (Torr.) V.E.Grant
Ipomopsis pumila,Ipomopsis pumila (Nutt.) V.E.Grant
Ips amitinus,
Ips typographus,
Ipsibuffonella dissidens,
Iravadia elegantula,
Ircinia,
Ircinia bivalves,
Ircinia heron,
Iriantera,
Iridaceae,
Iridaea,
Iridopagurus,
Iridopagurus caribbensis,
Iridopagurus dispar,
Iridopagurus violaceus,
Iridopsis emasculata,
Iris sibirica,Iris sibirica L.
Irolita,
Irolita waitii,
Irpex lacteus,
Irusella lamellifera,
Irvingbaileya australis,Irvingbaileya australis (C.T.White) R.A.Howard
Irvingia malayana,Irvingia malayana Oliv. ex A.W.Benn.
Isacia conceptionis,
Isaea,
Isaeidae,
Isanthus brachiatus,Trichostema brachiatum L.
Isaurus asymmetrias,
Isaurus tuberculatus,
Ischadium recurvum,
Ischerocerus anguipes,
Ischnocalanus,
Ischnocalanus plumulosus,
Ischnocalanus tenuis,
Ischnochiton,
Ischnochiton albus,
Ischnochiton exaratus,
Ischnochiton floridanus,
Ischnochiton hartmeyeri,
Ischnochiton niveus,
Ischnochiton papillosus,
Ischnochiton pygmaea,
Ischnochiton ruber,
Ischnochiton trifidus,
Ischnochitonidae,
Ischnocnema guentheri,
Ischnocnema henseli,
Ischnocnema parva,
Ischnocolus culebrae,
Ischnosoma,
Ischnura,
Ischnura elegans,
Ischyroceridae,
Ischyrocerus,
Ischyrocerus anguipes,
Ischyrocerus commensalis,
Ischyrocerus latipes,
Ischyrocerus megacheir,
Ischyrocerus megalops,
Ischyrocerus pelagops,
Iselica,
Iselica ovoidea,
Ishige foliacea,
Ishige okamurae,
Isias clavipes,
Isistius brasiliensis,
Isochaetides freyi,
Isochaetides heterochaetus,
Isocheles wurdemanni,
Isocirrus,
Isocirrus longiceps,
Isognomon attenuata,
Isognomon isognomon,
Isognomon radiatus,
Isolda pulchella,
Isonandra lanceolata,Isonandra lanceolata Wight
Isoperla goertzi,
Isoperla grammatica,
Isophrictis striatella,
Isophyllia sinuosa,
Isopisthus parvipinnis,
Isopod,
Isopoda,
Isopora,
Isopora brueggemanni,
Isopora crateriformis,
Isopora cuneata,
Isopora palifera,
Isopsetta isolepis,
Isorhipis foveata,
Isoteinon lamprospilus,
Isothecium alopecuroides,
Isozoanthus sulcatus,
Issena,
Issena ramosa,
Issidae,
Issoria lathonia,
Isthmoplea sphaerophora,
Istiblennius,
Istiblennius edentulus,
Istigobius,
Istigobius decoratus,
Istigobius hoesei,
Istiophoridae,
Istiophorus albicans,
Istiophorus platypterus,
Isurus oxyrinchus,
Itame,
Itame bitactata,
Itame brunneata,
Itame confederata,
Itame decorata,
Itame plumosata,
Itame quadrilinearia,
Itapotihyla langsdorffii,
Itasina filifolia,Itasina filifolia (Thunb.) Raf.
Ithycythara,
Ithycythara cymella,
Ithycythara lanceolata,
Ithycythara psila,
Itonoa marginifera,
Itunella muelleri,
Iungentitanais primitivus,
Iva microcephala,Iva microcephala Nutt.
Ixa edwardsii,
Ixa inermis,
Ixa monodi,
Ixa pulcherrima,
Ixias pyrene,
Ixobrychus sinensis,
Ixonanthes icosandra,Ixonanthes icosandra Jack
Ixonanthes reticulata,Ixonanthes reticulata Jack
Ixora brevifolia,Ixora brevifolia Benth.
Ixora concinna,Ixora concinna R.Br. ex Hook.f.
Ixora congesta,Ixora congesta Roxb.
Ixora fuscotomento,
Ixora gardneriana,Ixora gardneriana Benth.
Ixora grandifolia,Ixora grandifolia Zoll. & Moritzi
Ixora incrassatum,
Ixora kingstoni,Ixora kingstoni Hook.f.
Ixora lanceolata,Ixora alba L.
Ixora lobbii,Ixora lobbii Loudon
Ixora nigricans,Ixora nigricans R.Br. ex Wight & Arn.
Ixora oreogena,Ixora oreogena S.T.Reynolds & P.I.Forst.
Ixora pendula,Ixora pendula Jack
Ixora venulosa,Ixora venulosa Benth.
Ixora warmingii,Ixora brevifolia Benth.
Ixoreus naevius,
Izanami inermis,
Jacaranda,
Jacaranda brasiliana,Jacaranda brasiliana (Lam.) Pers.
Jacaranda copaia,Jacaranda copaia (Aubl.) D.Don
Jacaranda micrantha,Jacaranda micrantha Cham.
Jacaranda puberula,Jacaranda puberula Cham.
Jacaratia spinosa,Jacaratia spinosa (Aubl.) A.DC.
Jackiopsis ornata,Jackiopsis ornata (Wall.) Ridsdale
Jacquinotia edwardsii,
Jactellina clathrata,
Jaera,
Jaera albifrons,
Jaera forsmani,
Jaera marina,
Jaera nordmanni,
Jaera praehirsuta,
Jaeropsidae,
Jaeropsis,
Jaeropsis brevicornis,
Jaeropsis dubia,
Jaeropsis rathbunae,
Jagera pseudorhus,Jagera pseudorhus (A.Rich.) Radlk.
Jamides alecto,
Jamides bochus,
Jamides celeno,
Jania,
Jania adhaerens,
Jania adherens,
Jania capillacea,
Jania corniculata,
Jania rubens,
Jania virgata,
Janira,
Janira algicola,
Janira alta,
Janira maculosa,
Janiralata,
Janiralata occidentalis,
Janiralata solasteri,
Janiridae,
Janiropsis,
Janiropsis breviremis,
Janiropsis tridens,
Janolidae,
Janolus,
Janolus cristatus,
Janolus hyalinus,
Janthina,
Janthina globosa,
Janthina pallida,
Janua dexiospira,
Janua pagenstecheri,
Japetella,
Japetella diaphana,
Japonica lutea,
Japonolaeops dentatus,
Jaschnovia,
Jaschnovia brevis,
Jaschnovia tolli,
Jasione montana,Jasione montana L.
Jasmineira,
Jasmineira bermudensis,
Jasmineira bilobata,
Jasmineira candela,
Jasmineira caudata,
Jasmineira elegans,
Jasmineira pacifica,
Jasminisis,
Jaspidae,
Jaspidella,
Jaspidella blanesi,
Jaspidella jaspidea,
Jassa,
Jassa falcata,
Jassa herdmani,
Jassa marmorata,
Jassa pusilla,
Jassa slatteryi,
Jasus edwardsii,
Jasus verreauxi,
Javania cailleti,
Javichthys kailolae,
Jaxea nocturna,
Jay unidentified,
Jeffreysina globularis,
Jellyella eburnea,
Jellyella tuberculata,
Jenkinsia,
Jenkinsia lamprotaenia,
Jenkinsia stolifera,
Jenkinsia unknown,
Jerbarnia,
Jerbarnia americana,
Jesogammarus annandalei,
Joeropsis,
Joeropsis concava,
Joeropsis dubia,
Joeropsis hawaiiensis,
Joeropsis rathbunae,
Johnius,
Johnius amblycephalus,
Johnius belangerii,
Johnius borneensis,
Johnius distinctus,
Johnius dussumieri,
Johnius grypotus,
Johnius laevis,
Johnius macrorhynus,
Jonas luteanus,
Jordanella floridae,
Jordaniella nivosa,
Jorunna funebris,
Jorunna ramicola,
Jorunna tomentosa,
Josephella marenzelleri,
Jouannetia globosa,
Jouannetia quillingi,
Joubiniteuthis portieri,
Judolia sexmaculata,
Juga,
Juga plicifera,
Jugaria granulata,
Juglans nigra,Juglans nigra L.
Jujubinus miliaris,
Jujubinus montagui,
Jujubinus striatus,
Juliacorbula luteola,
Julida,
Junceella,
Junceella juncea,
Junceella juvenile,
Junco hyemalis,
Juncus acutiflorus,Juncus acutiflorus Ehrh. ex Hoffm.
Juncus alpinus,Juncus alpinoarticulatus Chaix
Juncus arcticus,Juncus arcticus Willd.
Juncus biglumis,Juncus biglumis L.
Juncus canadensis,Juncus canadensis J.Gay ex Laharpe
Juncus conglomeratus,Juncus conglomeratus L.
Juncus dichotomus,Juncus dichotomus Elliott
Juncus effuses,
Juncus effusus,Juncus effusus L.
Juncus interior,Juncus interior Wiegand
Juncus jacquinii,Juncus jacquinii L.
Juncus kraussii,Juncus kraussii Hochst.
Juncus marginatus,Juncus marginatus Rostk.
Juncus subnodulosus,Juncus subnodulosus Schrank
Juncus tenuis,Juncus tenuis Willd.
Juncus trifidus,Juncus trifidus L.
Juncus triglumis,Juncus triglumis L.
Jungfische,
Jungfische bohater,
Juniperus,
Juniperus communis,Juniperus communis L.
Juniperus monosperma,Juniperus monosperma (Engelm.) Sarg.
Juniperus virginiana,Juniperus virginiana L.
Junonia,
Junonia almana,
Junonia atlites,
Junonia coenia,
Junonia lemonias,
Junonia orythia,
Jupiteria minuta,
Justicia,
Justicia ovata,Justicia ovata (Walter) Lindau
Juxtamusium coudeini,
Jynx torquilla,
Kali,
Kali indica,
Kali macrodon,
Kalima inachus,
Kalliapseudes,
Kalliapseudes bahamensis,
Kalliapseudes bahanensis,
Kalliapseudes macsweenyi,
Kalliapseudes spa,
Kalliapseudidae,
Kallstroemia grandiflora,Kallstroemia grandiflora Torr. ex A.Gray
Kallstroemia hirsutissima,Kallstroemia hirsutissima Vail
Kallstroemia parviflora,Kallstroemia parviflora Norton
Kallymenia,
Kallymenia cribrosa,
Kallymenia pacifica,
Kallymenia perforata,
Kallymenia reniformis,
Kallymenia sessilis,
Kamehatylus nani,
Kamoharaia,
Kamoharaia megastoma,
Kamptopleustes coquillus,
Kanekonia queenslandica,
Kanisca canace,
Kaniska canace,
Karenia,
Karenia brevis,
Karenia mikimotoi,
Karenia papilionacea,
Karlodinium,
Karlodinium australe,
Karlodinium micrum,
Karlodinium veneficum,
Karlodinium vitiligo,
Katablepharis,
Katelysia hiantina,
Katelysia japonica,
Kateretes rufilabris,
Katerythrops,
Katerythrops oceanae,
Kathetostoma,
Kathetostoma albigutta,
Kathetostoma canaster,
Kathetostoma cubana,
Kathetostoma giganteum,
Kathetostoma laeve,
Kathetostoma nigrofasciatum,
Katodinium,
Katodinium fungiforme,
Katodinium glaucum,
Katodinium rotundatum,
Katsuwonus pelamis,
Kedrostis nana,Kedrostis nana (Lam.) Cogn.
