parsed,lcvp
Avicennia germinans,Avicennia germinans (L.) L.
Axinaea sodiroi,Axinaea sodiroi Wurdack
Axonopus,
Axonopus affinis,Axonopus fissifolius (Raddi) Kuhlm.
Axonopus pressus,Axonopus pressus (Nees ex Steud.) Parodi
Axonopus suffultus,Axonopus suffultus (J.C.Mikan ex Trin.) Parodi
Baccaurea,
Baccaurea courtallensis,Baccaurea courtallensis (Wight) Müll.Arg.
Baccaurea griffithii,Baccaurea macrocarpa (Miq.) Müll.Arg.
Baccaurea kunstleri,Baccaurea polyneura Hook.f.
Baccaurea maingayi,Baccaurea maingayi Hook.f.
Baccaurea minor,Baccaurea minor Hook.f.
Baccaurea parviflora,Baccaurea parviflora (Müll.Arg.) Müll.Arg.
Baccaurea pyriformis,Baccaurea pyriformis Gage
Baccaurea racemosa,Baccaurea racemosa (Reinw. ex Blume) Müll.Arg.
Baccaurea ramiflora,Baccaurea ramiflora Lour.
Baccaurea reticulata,Baccaurea reticulata Hook.f.
Baccaurea sumatrana,Baccaurea sumatrana (Miq.) Müll.Arg.
Baccharis articulata,Baccharis articulata (Lam.) Pers.
Baccharis cognata,Baccharis cognata DC.
Baccharis halimifoli,Baccharis halimifolia L.
Baccharis leucopappa,Baccharis leucopappa DC.
Baccharis ligustrina,Baccharis ligustrina DC.
Baccharis ochracea,Baccharis ochracea Spreng.
Baccharis pteronioides,Baccharis pteronioides DC.
Baccharis trimera,Baccharis genistelloides (Lam.) Pers.
Backhousia bancroftii,Backhousia bancroftii F.M.Bailey & F.Muell.
Backhousia hughesii,Backhousia hughesii C.T.White
Bacopa caroliniana,Bacopa caroliniana (Walter) B.L.Rob.
Bacopa monneri,
Bactris barronis,Bactris barronis L.H.Bailey
Bactris coloniata,Bactris coloniata L.H.Bailey
Bactris coloradonis,Bactris coloradonis L.H.Bailey
Bactris major,Bactris major Jacq.
Bactris maraja,Bactris maraja Mart.
Bactris panamensis,Bactris panamensis DeNevers & Grayum
Bahia absentifolia,
Bahia absinthifolia,Picradeniopsis absinthifolia (Benth.) B.G.Baldwin
Bahia biternata,Hymenothrix biternata (A.Gray) B.G.Baldwin
Bahia dissecta,Hymenothrix dissecta (A.Gray) B.G.Baldwin
Baileya multiradiata,Baileya multiradiata Harv. & A.Gray ex Torr.
Balanops australiana,Balanops australiana F.Muell.
Balfourodendron riedelianum,Balfourodendron riedelianum (Engl.) Engl.
Baloghia parviflora,Baloghia parviflora C.T.White
Balsamorhiza sagittata,Balsamorhiza sagittata (Pursh) Nutt.
Banara guianensis,Banara guianensis Aubl.
Banara tomentosa,Banara tomentosa Clos
Baptisia australis,Baptisia australis (L.) R.Br.
Baptisia bracteata,Baptisia bracteata Elliott
Barbarea vulgaris,Barbarea vulgaris (L.) W.T.Aiton
Barongia lophandra,Barongia lophandra PeterG.Wilson & B.Hyland
Barringtonia calyptrata,Barringtonia calyptrata (R.Br. ex Miers) R.Br. ex F.M.Bailey
Barringtonia fusiformis,Barringtonia fusiformis King
Barringtonia macrostachya,Barringtonia macrostachya (Jack) Kurz
Barringtonia pendula,Barringtonia pendula (Griff.) Kurz
Bartsia alpina,Bartsia alpina L.
Bathysa obovata,Schizocalyx obovatus (K.Schum. ex Standl.) Kainul. & B.Bremer
Bauhinia brevipes,Bauhinia brevipes Vogel
Bauhinia cupulata,Bauhinia cupulata Benth.
Bauhinia longifolia,Bauhinia longifolia (Bong.) Steud.
Bauhinia malabarica,Bauhinia malabarica Roxb.
Bauhinia racemosa,Bauhinia racemosa Lam.
Bauhinia rufa,Bauhinia rufa (Bong.) Steud.
Beilschmiedia,
Beilschmiedia alloiophylla,Beilschmiedia alloiophylla (Rusby) Kosterm.
Beilschmiedia bancroftii,Beilschmiedia bancroftii (F.M.Bailey) C.T.White
Beilschmiedia collina,Beilschmiedia collina B.Hyland
Beilschmiedia dictyoneura,Beilschmiedia dictyoneura Kosterm.
Beilschmiedia kunstleri,Beilschmiedia kunstleri Gamble
Beilschmiedia lucidula,Beilschmiedia lucidula (Miq.) Kosterm.
Beilschmiedia madang,Beilschmiedia madang Blume
Beilschmiedia obtusifolia,Beilschmiedia obtusifolia (Meisn.) F.Muell.
Beilschmiedia palembanica,Beilschmiedia palembanica (Miq.) Kosterm.
Beilschmiedia pendula,Beilschmiedia pendula (Sw.) Hemsl.
Beilschmiedia peninsularis,Beilschmiedia peninsularis B.Hyland
Beilschmiedia recurva,Beilschmiedia recurva B.Hyland
Beilschmiedia tooram,Beilschmiedia tooram (F.M.Bailey) B.Hyland
Beilschmiedia tovarensis,Beilschmiedia tovarensis (Klotzsch & H.Karst. ex Meisn.) Sach.Nishida
Beilschmiedia volckii,Beilschmiedia volckii B.Hyland
Beilschmiedia wightii,Beilschmiedia wightii (Nees) Benth. & Hook.f.
Bellis perennis,Bellis perennis L.
Berkheya barbata,Berkheya barbata (L.f.) Hutch.
Berlandiera lyrata,Berlandiera lyrata Benth.
Berrya javanica,Berrya javanica (Turcz.) Burret
Bertiera guianensis,Bertiera guianensis Aubl.
Berzelia abrotanoides,Berzelia abrotanoides (L.) Brongn.
Berzelia lanuginosa,Berzelia lanuginosa (L.) Brongn.
Besleria,
Besleria robusta,Besleria robusta Donn.Sm.
Besleria solanoides,Besleria solanoides Kunth
Betonica officinalis,Stachys officinalis (L.) Trevis.
Betula,
Betula alleghaniensis,Betula alleghaniensis Britton
Betula glandulosa,Betula glandulosa Michx.
Betula nana,Betula nana L.
Betula papyrifera,Betula papyrifera Marshall
Betula pendula,Betula pendula Roth
Betula populifolia,Betula populifolia Marshall
Betula pubescens,Betula pubescens Ehrh.
Bhesa paniculata,Bhesa paniculata Arn.
Billia rosea,Billia rosea (Planch. & Linden) C.Ulloa & P.Jørg.
Biota,
Bischofia javanica,Bischofia javanica Blume
Biscutella laevigata,Biscutella laevigata L.
Bistorta vivipara,Bistorta vivipara (L.) Gray
Blachia umbellata,Blachia umbellata (Willd.) Baill.
Blakea,
Blakea eriocalyx,Blakea eriocalyx Wurdack
Blakea punctulata,Blakea punctulata (Triana) Wurdack
Blepharistemma membranifolia,
Blepharocalyx salicifolius,Blepharocalyx salicifolius (Kunth) O.Berg
Blepharocalyx suaveolens,Blepharocalyx salicifolius (Kunth) O.Berg
Blepharocarya involucrigera,Blepharocarya involucrigera F.Muell.
Blumeodendron calophyllum,Blumeodendron calophyllum AiryShaw
Blumeodendron subrotundifolium,Blumeodendron kurzii (Hook.f.) J.J.Sm. ex Koord. & Valeton
Blumeodendron tokbrai,Blumeodendron tokbrai (Blume) Kurz
Bobartia filiformis,Bobartia filiformis (L.f.) KerGawl.
Bobartia gladiata,Bobartia gladiata (L.f.) KerGawl.
Bobartia indica,Bobartia indica L.
Bobea myrtoides,Antirhea myrtoides (F.Muell.) F.M.Bailey
Boerhaavia,
Boerhaavia coulteri,
Boerhaavia intermedia,
Boerhaavia torreyana,
Boerhavia spicata,Boerhavia spicata Choisy
Bombax ceiba,Bombax ceiba L.
Borago officinalis,Borago officinalis L.
Borreria capitata,Spermacoce capitata Ruiz & Pav.
Borreria verticillata,Spermacoce verticillata L.
Bothriochloa ischaemum,Bothriochloa ischaemum (L.) Keng
Bothriochloa saccharoides,Bothriochloa saccharoides (Sw.) Rydb.
Botrychium lunaria,Botrychium lunaria (L.) Sw.
Botrychium virginianum,Botrychium virginianum (L.) Sw.
Bouea macrophylla,Bouea macrophylla Griff.
Bouea oppositifolia,Bouea oppositifolia (Roxb.) Meisn.
Bougainvillea glabra,Bougainvillea glabra Choisy ex DC.
Bouteloua,
Bouteloua aristidoides,Bouteloua aristidoides (Kunth) Griseb.
Bouteloua barbata,Bouteloua barbata Lag.
Bouteloua curtipendula,Bouteloua curtipendula (Michx.) Torr.
Bouteloua eriopoda,Bouteloua eriopoda (Torr.) Torr.
Bouteloua gracilis,Bouteloua gracilis (Kunth) Lag. ex Griffiths
Bouteloua hirsuta,Bouteloua hirsuta Lag.
Bowdichia virgilioides,Bowdichia virgilioides Kunth
Brachychiton acerifolius,Brachychiton acerifolius (A.Cunn. ex G.Don) Macarthur & C.Moore
Brachypodium pinnatum,Brachypodium pinnatum (L.) P.Beauv.
Brackenridgea australiana,Brackenridgea australiana F.Muell.
Brackenridgea hookeri,Brackenridgea hookeri (Planch.) A.Gray
Brassica,
Brassica oleracea,Brassica oleracea L.
Brassicaceae,
Braya purpurascens,Braya glabella Richardson
Brickellia brachyphylla,Brickellia brachyphylla (A.Gray) A.Gray
Brickellia californica,Brickellia californica (Torr. & A.Gray) A.Gray
Brickellia eupatorioides,Brickellia eupatorioides (L.) Shinners
Bridelia pustulata,Bridelia pustulata Hook.f.
Bridelia retusa,Bridelia retusa (L.) A.Juss.
Briza media,Briza media L.
Briza rufa,Chascolytrum rufum J.Presl
Briza subaristata,Chascolytrum subaristatum (Lam.) Desv.
Briza uniolae,Chascolytrum uniolae (Nees) Essi & al.
Brombya platynema,Brombya platynema F.Muell.
Bromus erectus,Bromus erectus Huds.
Bromus hordeaceus,Bromus hordeaceus L.
Bromus inermis,Bromus inermis Leyss.
Bromus japonicus,Bromus japonicus Thunb.
Bromus rubens,Bromus rubens L.
Bromus tectorum,Bromus tectorum L.
Brosimum alicastrum,Brosimum alicastrum Sw.
Brosimum gaudichaudii,Brosimum gaudichaudii Trécul
Brosimum guianense,Brosimum guianense (Aubl.) Huber ex Ducke
Brosimum utile,Brosimum utile (Kunth) Oken
Brunellia,
Bubbia semecarpoides,Zygogynum semecarpoides (F.Muell.) Vink
Buchanania axillaris,Buchanania axillaris (Desr.) Ramamoorthy
Buchanania sessilifolia,Buchanania sessilifolia Blume
Buchenavia tomentosa,Terminalia corrugata (Ducke) Gere & Boatwr.
Buchloe dactyloides,Bouteloua dactyloides (Nutt.) Columbus
Buchnera americana,Buchnera americana L.
Buckinghamia celsissima,Buckinghamia celsissima F.Muell.
Buglossoides arvensis,Buglossoides arvensis (L.) I.M.Johnst.
Bulbine abyssinica,Bulbine abyssinica A.Rich.
Bulbostylis,
Bulbostylis juncoides,Bulbostylis juncoides (Vahl) Kük. ex Herter
Bunchosia pallescens,Bunchosia pallescens Skottsb.
Bupleurum fruticescens,Bupleurum fruticescens L.
Butea monosperma,Butea monosperma (Lam.) Taub.
Byrsonima,
Byrsonima basiloba,Byrsonima basiloba A.Juss.
Byrsonima coccolobifolia,Byrsonima coccolobifolia Kunth
Byrsonima coriacea,Byrsonima crassifolia (L.) Kunth
Byrsonima crassifolia,Byrsonima crassifolia (L.) Kunth
Byrsonima laxiflora,Byrsonima laxiflora Griseb.
Byrsonima sericea,Byrsonima sericea DC.
Byrsonima spicata,Byrsonima spicata (Cav.) Rich. ex Kunth
Cabralea canjerana,Cabralea canjerana (Vell.) Mart.
Caesalpinia coriaria,Libidibia coriaria (Jacq.) Schltdl.
Caesia contorta,Caesia contorta (L.f.) T.Durand & Schinz
Cakile edentula,Cakile edentula (Bigelow) Hook.
Calamagrostis,
Calamagrostis arundinacea,Calamagrostis arundinacea (L.) Roth
Calamagrostis canadensis,Calamagrostis canadensis (Michx.) P.Beauv.
Calamagrostis epigejos,Calamagrostis epigejos (L.) Roth
Calamagrostis holmii,Calamagrostis holmii Lange
Calamagrostis inexpansa,Calamagrostis inexpansa A.Gray
Calamagrostis lapponica,Calamagrostis lapponica (Wahlenb.) Hartm.
Calamagrostis stricta,Calamagrostis stricta (Timm) Koeler
Calamagrostis villosa,Calamagrostis villosa (Chaix) J.F.Gmel.
Calamagrostis viridiflavescens,Calamagrostis viridiflavescens (Poir.) Steud.
Calatola costaricensis,Calatola costaricensis Standl.
Calea uniflora,Calea uniflora Less.
Calliandra foliolosa,Calliandra foliolosa Benth.
Callianthemum coriandrifolium,Callianthemum coriandrifolium Rchb.
Callicarpa maingayi,Callicarpa maingayi King & Gamble
Callicarpa tomentosa,Callicarpa tomentosa (L.) L.
Callirhoe alcaeoides,Callirhoe alcaeoides (Michx.) A.Gray
Callirhoe involucrata,Callirhoe involucrata (Torr. & A.Gray) A.Gray
Calluna vulgaris,Calluna vulgaris (L.) Hull
Calocedrus decurrens,Calocedrus decurrens (Torr.) Florin
Calochortus macrocarpus,Calochortus macrocarpus Douglas
Calochortus nuttallii,Calochortus nuttallii Torr.
Calophyllum brasiliense,Calophyllum brasiliense Cambess.
Calophyllum depressinervosum,Calophyllum depressinervosum M.R.Hend. & Wyatt-Sm.
Calophyllum dioscurii,Calophyllum dioscurii P.F.Stevens
Calophyllum longifolium,Calophyllum longifolium Willd.
Calophyllum macrocarpum,Calophyllum macrocarpum Hook.f.
Calophyllum polyanthum,Calophyllum polyanthum Wall. ex Triana & Planch.
Calophyllum rupicola,
Calophyllum sil,Calophyllum sil Lauterb.
Calophyllum soulattri,
Calophyllum tetrapterum,Calophyllum tetrapterum Miq.
Calophyllum wallichianum,Calophyllum wallichianum Triana & Planch.
Caltha palustris,Caltha palustris L.
Calycoseris wrightii,Calycoseris wrightii A.Gray
Calylophus lavandulifolius,
Calylophus serrulatus,
Calyptranthes clusiifolia,Calyptranthes clusiifolia O.Berg
Calyptranthes concinna,Calyptranthes concinna DC.
Calyptranthes lucida,Calyptranthes lucida Mart. ex DC.
Calystegia macounii,Calystegia macounii (Greene) Brummitt
Camelina microcarpa,Camelina microcarpa Andrz. ex DC.
Campanula barbata,Campanula barbata L.
Campanula collina,Campanula collina Sims
Campanula lasiocarpa,Campanula lasiocarpa Cham.
Campanula patula,Campanula patula L.
Campanula rotundifolia,Campanula rotundifolia L.
Campanula scheuchzeri,Campanula scheuchzeri Vill.
Campanula tridentata,Campanula tridentata Schreb.
Campnosperma auriculata,Campnosperma auriculata (Blume) Hook.f.
Campomanesia,
Campomanesia aurea,Campomanesia aurea O.Berg
Campomanesia guaviroba,Campomanesia guaviroba (DC.) Kiaersk.
Campomanesia guazumifolia,Campomanesia guazumifolia (Cambess.) O.Berg
Campomanesia velutina,Campomanesia velutina (Cambess.) O.Berg
Campomanesia xanthocarpa,Campomanesia xanthocarpa (Mart.) O.Berg
Cananga odorata,Cananga odorata (Lam.) Hook.f. & Thomson
Canarium apertum,Canarium apertum H.J.Lam
Canarium australasicum,Canarium australasicum (F.M.Bailey) Leenh.
Canarium littorale,Canarium littorale Blume
Canarium megalanthum,Canarium megalanthum Merr.
Canarium muelleri,Canarium muelleri F.M.Bailey
Canarium patentinervium,Canarium patentinervium Miq.
Canarium pilosum,Canarium pilosum A.W.Benn.
Canarium purpurescens,
Canarium rufum,Canarium rufum A.W.Benn.
Canarium strictum,Canarium strictum Roxb.
Canarium sumatrana,
Canarium tomentosum,Canarium littorale Blume
Cannabis sativa,Cannabis sativa L.
Canthium dicoccum,Psydrax dicoccos Gaertn.
Capelio tabularis,Capelio tabularis (Thunb.) B.Nord.
Capeobolus brevicaulis,Capeobolus brevicaulis (C.B.Clarke) Browning
Capeochloa cincta,Capeochloa cincta (Nees) H.P.Linder & al.
Capparidastrum frondosum,Capparidastrum frondosum (Jacq.) Cornejo & Iltis
Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.
Carallia brachiata,Carallia brachiata (Lour.) Merr.
Carapa guianensis,Carapa guianensis Aubl.
Cardamine alpina,Cardamine bellidifolia L.
Cardamine bellidifolia,Cardamine bellidifolia L.
Cardamine hyperborea,Cardamine digitata Richardson
Cardamine nymanii,Cardamine nymanii Gand.
Cardamine pratensis,Cardamine pratensis L.
Cardaminopsis petraea,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz
Cardiopetalum calophyllum,Cardiopetalum calophyllum Schltdl.
Carduus spinosissimus,Cirsium acaule (L.) Scop.
Cardwellia sublimis,Cardwellia sublimis F.Muell.
Carex,
Carex aquatilis,Carex aquatilis Wahlenb.
Carex atrofusca,Carex atrofusca Schkuhr
Carex austrina,Carex austrina Mack.
Carex bigelowii,Carex bigelowii Torr. ex Schwein.
Carex blanda,Carex blanda Dewey
Carex brevior,Carex brevior (Dewey) Mack. ex Lunell
Carex brizoides,Carex brizoides L.
Carex canescens,Carex canescens L.
Carex capillaris,Carex capillaris L.
Carex caryophyllea,Carex caryophyllea Latourr.
Carex chordorrhiza,
Carex curta,Carex canescens L.
Carex curvula,Carex curvula All.
Carex dioica,Carex dioica L.
Carex douglasii,Carex douglasii Boott
Carex echinata,Carex echinata Murray
Carex firma,Carex firma Host
Carex flava,Carex flava L.
Carex fusca,Carex nigra (L.) Reichard
Carex gracilis,Carex acuta L.
Carex gravida,Carex gravida L.H.Bailey
Carex heliophila,Carex inops L.H.Bailey
Carex inops,Carex inops L.H.Bailey
Carex lachenalii,Carex lachenalii Schkuhr
Carex leporina,Carex leporina L.
Carex limosa,Carex limosa L.
Carex lyngbyei,Carex lyngbyei Hornem.
Carex meadii,Carex meadii Dewey
Carex membranacea,Carex membranacea Hook.
Carex microchaeta,Carex microchaeta Holm
Carex misandra,Carex fuliginosa Schkuhr
Carex montana,Carex montana L.
Carex nigra,Carex nigra (L.) Reichard
Carex norvegica,Carex norvegica Retz.
Carex oreophila,Carex oreophila C.A.Mey.
Carex ornithopoda,Carex ornithopoda Willd.
Carex pallescens,Carex pallescens L.
Carex panicea,Carex panicea L.
Carex parallela,Carex parallela (Laest.) Sommerf.
Carex parviflora,Carex parviflora Host
Carex pilulifera,Carex pilulifera L.
Carex praegracilis,Carex praegracilis W.Boott
Carex pyrenaica,Carex pyrenaica Wahlenb.
Carex rariflora,Carex rariflora (Wahlenb.) Sm.
Carex rostrata,Carex rostrata Stokes
Carex rotundata,Carex rotundata Wahlenb.
Carex rupestris,Carex rupestris All.
Carex saxatilis,Carex saxatilis L.
Carex sempervirens,Carex sempervirens Vill.
Carex subspathacea,Carex subspathacea Wormsk. ex Hornem.
Carex umbrosa,Carex umbrosa Host
Carex vaginata,Carex vaginata Tausch
Careya arborea,Careya arborea Roxb.
Cariniana estrellensis,Cariniana estrellensis (Raddi) Kuntze
Cariniana legalis,Cariniana legalis (Mart.) Kuntze
Carlina acaulis,Carlina acaulis L.
Carnarvonia araliifolia,Carnarvonia araliifolia F.Muell.
Carpacoce spermacocea,Carpacoce spermacocea (Rchb. ex Spreng.) Sond.
Carpacoce vaginellata,Carpacoce vaginellata Salter
Carpinus betulus,Carpinus betulus L.
Carpobrotus acinaciformis,Carpobrotus acinaciformis (L.) L.Bolus
Carpobrotus edulis,Carpobrotus edulis (L.) N.E.Br.
Carum carvi,Carum carvi L.
Carum caucasicum,Carum caucasicum (M.Bieb.) Boiss.
Carum meifolium,Carum meifolium (M.Bieb.) Boiss.
Carya glabra,Carya glabra (Mill.) Sweet
Carya tomentosa,Carya alba (L.) Nutt. ex Elliott
Caryocar brasiliense,Caryocar brasiliense A.St.-Hil.
Caryota mitis,Caryota mitis Lour.
Caryota urens,Caryota urens L.
Casearia aculeata,Casearia aculeata Jacq.
Casearia arborea,Casearia arborea (Rich.) Urb.
Casearia clarkei,Casearia clarkei King
Casearia commersoniana,Casearia commersoniana Cambess.
Casearia costulata,Casearia costulata Jessup
Casearia dallachii,
Casearia decandra,Casearia decandra Jacq.
Casearia esculenta,Casearia zeylanica (Gaertn.) Thwaites
Casearia gossypiosperma,Casearia gossypiosperma Briq.
Casearia grandiflora,Casearia grandiflora Cambess.
Casearia grewiifolia,Casearia grewiifolia Vent.
Casearia guianensis,Casearia guianensis (Aubl.) Urb.
Casearia lasiophylla,Casearia lasiophylla Eichler
Casearia obliqua,Casearia obliqua Spreng.
Casearia ovata,Casearia ovata (Lam.) Willd.
Casearia rupestris,Casearia rupestris Eichler
Casearia sylvestris,Casearia sylvestris Sw.
Casearia zahlbruckneri,Casearia zahlbruckneri Szyszyl.
Cassia ferruginea,Cassia ferruginea (Schrad.) DC.
Cassia fistula,Cassia fistula L.
Cassia leptadenia,Chamaecrista nictitans (L.) Moench
Cassia montana,Senna montana (Roth) V.Singh
Cassia nodosa,Cassia javanica L.
Cassine glauca,Elaeodendron glaucum (Rottb.) Pers.
Cassine peragua,Cassine peragua L.
Cassiope tetragona,Cassiope tetragona (L.) D.Don
Cassipourea elliptica,Cassipourea guianensis Aubl.
Cassytha ciliolata,Cassytha ciliolata Nees
Cassytha filiformis,Cassytha filiformis L.
Castanopsis chrysophylla,Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq.
Castanopsis curtisii,Castanopsis curtisii King
Castanopsis inermis,Castanopsis inermis (Lindl.) Benth. & Hook.f.
Castanopsis megacarpa,Castanopsis megacarpa Gamble
Castanopsis nephelioides,Castanopsis nephelioides King ex Hook.f.
Castanopsis schefferiana,Castanopsis schefferiana Hance
Castanospermum australe,Castanospermum australe A.Cunn. & C.Fraser
Castanospora alphandii,Castanospora alphandii (F.Muell.) F.Muell.
Castilleja angustifolia,Castilleja angustifolia (Nutt.) G.Don
Castilleja hyperborea,Castilleja hyperborea Pennell
Castilleja sessiliflora,Castilleja sessiliflora Pursh
Catabrosella variegata,Colpodium variegatum (Boiss.) Boiss. ex Griseb.
Catalepidia heyana,Catalepidia heyana (F.M.Bailey) P.H.Weston
Cavanillesia platanifolia,Cavanillesia platanifolia (Kunth) Kunth
Ceanothus americanus,Ceanothus americanus L.
Ceanothus herbaceus,Ceanothus herbaceus Raf.
Cecropia angustifolia,Cecropia angustifolia Trécul
Cecropia glaziovii,
Cecropia heterochroma,Cecropia heterochroma C.C.Berg & P.Franco
Cecropia insignis,Cecropia insignis Liebm.
Cecropia longipes,Cecropia longipes Pittier
Cecropia monostachya,Cecropia gabrielis Cuatrec.
Cecropia obtusifolia,Cecropia obtusifolia Bertol.
Cecropia pachystachia,
Cecropia pachystachya,Cecropia pachystachya Trécul
Cecropia peltata,Cecropia peltata L.
Cedrela fissilis,Cedrela fissilis Vell.
Cedrela montana,Cedrela montana Moritz ex Turcz.
Cedrela odorata,Cedrela odorata L.
Cedrelinga cateriformis,
Cedrella fissilis,
Ceiba pentandra,Ceiba pentandra (L.) Gaertn.
Ceiba speciosa,Ceiba speciosa (A.St.-Hil.) Ravenna
Celastrus scandens,Celastrus scandens L.
Celtis ehrenbergiana,Celtis ehrenbergiana (Klotzsch) Liebm.
Celtis iguanaea,Celtis iguanaea (Jacq.) Sarg.
Celtis occidentalis,Celtis occidentalis L.
Celtis paniculata,Celtis paniculata (Endl.) Planch.
Celtis rigescens,Celtis rigescens (Miq.) Planch.
