parsed,common,lcvp,fishbase,ebird
Lomentaria articulata,NA,NA,NA,NA
Lomentaria catenata,NA,NA,NA,NA
Lomentaria clavellosa,NA,NA,NA,NA
Lomentaria orcadensis,NA,NA,NA,NA
Lomentaria rosea,NA,NA,NA,NA
Lomentaria uncinata,NA,NA,NA,NA
Lomographa bimaculata,NA,NA,NA,NA
Lomographa temerata,NA,NA,NA,NA
Lonchocarpus atropurpureus,vascular plants,Lonchocarpus atropurpureus Benth.,NA,NA
Lonchocarpus cultratus,vascular plants,Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima,NA,NA
Lonchocarpus heptaphyllus,vascular plants,Lonchocarpus heptaphyllus (Poir.) DC.,NA,NA
Lonchocarpus subglaucescens,vascular plants,Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo,NA,NA
Lonchophylla robusta,mammals,NA,NA,NA
Lonchopisthus meadi,fishes,NA,Lonchopisthus lemur,NA
Lonchopisthus micrognathus,fishes,NA,Lonchopisthus micrognathus,NA
Lonchopylla thomasi,mammals,NA,NA,NA
Lonchura punctulata,birds,NA,NA,Lonchura punctulata
Longipedia coronata,NA,NA,NA,NA
Longipedia minor,NA,NA,NA,NA
Longipedia mourei,NA,NA,NA,NA
Longipedia scotti,NA,NA,NA,NA
Longitarsus rubiginosus,NA,NA,NA,NA
Longithorax alicei,NA,NA,NA,NA
Longithorax fuscus,NA,NA,NA,NA
Longithorax nouveli,NA,NA,NA,NA
Lonicera canadensis,vascular plants,Lonicera canadensis Bartram ex Marshall,NA,NA
Lonicera dioica,vascular plants,Lonicera dioica L.,NA,NA
Lopha cristagalli,NA,NA,NA,NA
Lopha frons,NA,NA,NA,NA
Lophaster furcifer,NA,NA,NA,NA
Lophaster furcilliger,NA,NA,NA,NA
Lophaster suluensis,NA,NA,NA,NA
Lophichthys boschmai,fishes,NA,Lophichthys boschmai,NA
Lophiocharon trisignatus,fishes,NA,Lophiocharon trisignatus,NA
Lophiomus setigerus,fishes,NA,Lophiomus setigerus,NA
Lophiotoma acuta,NA,NA,NA,NA
Lophiotoma indica,NA,NA,NA,NA
Lophius americanus,fishes,NA,Lophius americanus,NA
Lophius budegassa,fishes,NA,Lophius budegassa,NA
Lophius gastrophysus,fishes,NA,Lophius gastrophysus,NA
Lophius litulon,fishes,NA,Lophius litulon,NA
Lophius piscatorius,fishes,NA,Lophius piscatorius,NA
Lophocampa argentata,NA,NA,NA,NA
Lophocampa maculata,NA,NA,NA,NA
Lophocharis oxysternon,NA,NA,NA,NA
Lophocladia kuetzingii,NA,NA,NA,NA
Lophocolea bidentata,NA,NA,NA,NA
Lophocolea heterophylla,NA,NA,NA,NA
Lophodiodon calori,fishes,NA,Lophodiodon calori,NA
Lophodytes cucullatus,birds,NA,NA,Lophodytes cucullatus
Lophogaster spinosus,NA,NA,NA,NA
Lophogorgia cardinalis,NA,NA,NA,NA
Lophogorgia chilensis,NA,NA,NA,NA
Lopholatilus chamaeleonticeps,fishes,NA,Lopholatilus chamaeleonticeps,NA
Lopholatilus villarii,fishes,NA,Lopholatilus villarii,NA
Lopholithodes foraminatus,NA,NA,NA,NA
Lophonectes gallus,fishes,NA,Lophonectes gallus,NA
Lophopanopeus bellus,NA,NA,NA,NA
Lophopanopeus leucomanus,NA,NA,NA,NA
Lophopetalum floribundum,vascular plants,Lophopetalum floribundum Wight,NA,NA
Lophopetalum wightianum,vascular plants,Lophopetalum wightianum Arn.,NA,NA
Lophophanes cristatus,birds,NA,NA,Lophophanes cristatus
Lophophnaes cristatus,birds,NA,NA,NA
Lophosiphonia obscura,NA,NA,NA,NA
Lophosquilla costata,NA,NA,NA,NA
Lophostoma carrikeri,mammals,NA,NA,NA
Lophostoma schulzi,mammals,NA,NA,NA
Lophostoma silvicolum,mammals,NA,NA,NA
Lophothrix frontalis,NA,NA,NA,NA
Lophothrix latipes,NA,NA,NA,NA
Lophothrix quadrispinosa,NA,NA,NA,NA
Lophozia ventricosa,NA,NA,NA,NA
Lophozozymus dodone,NA,NA,NA,NA
Lophozozymus erinnyes,NA,NA,NA,NA
Lophozozymus pulchellus,NA,NA,NA,NA
Lopinga achine,NA,NA,NA,NA
Lopinga deidamia,NA,NA,NA,NA
Lora cancellata,NA,NA,NA,NA
Loricariichthys platymetopon,fishes,NA,Loricariichthys platymetopon,NA
Loricera pilicornis,NA,NA,NA,NA
Loripes lucinalis,NA,NA,NA,NA
Lota lota,fishes,NA,Lota lota,NA
Lotella rhacina,fishes,NA,Lotella rhacina,NA
Lotella rhacinus,fishes,NA,Lotella rhacina,NA
Lottia ochracea,NA,NA,NA,NA
Lotus alpinus,vascular plants,Lotus alpinus (DC.) Ramond,NA,NA
Lotus corniculatus,vascular plants,Lotus corniculatus L.,NA,NA
Lotus plebeius,vascular plants,Acmispon oroboides (Kunth) Brouillet,NA,NA
Lotus plebius,vascular plants,Acmispon oroboides (Kunth) Brouillet,NA,NA
Lotus uliginosus,vascular plants,Lotus pedunculatus Cav.,NA,NA
Louisiana waterthrush,NA,NA,NA,NA
Lovenella clausa,NA,NA,NA,NA
Lovenella gracilis,NA,NA,NA,NA
Lovenella grandis,NA,NA,NA,NA
Lovenia cordiformis,NA,NA,NA,NA
Lovenia elongata,NA,NA,NA,NA
Loweina interrupta,fishes,NA,Loweina interrupta,NA
Loweina rara,fishes,NA,Loweina rara,NA
Loxia curvirostra,birds,NA,NA,Loxia curvirostra
Loxia leucoptera,birds,NA,NA,Loxia leucoptera
Loxigilla portoricensis,birds,NA,NA,NA
Loxoconcha guttuta,NA,NA,NA,NA
Loxoconcha impressa,NA,NA,NA,NA
Loxocorniculum postdorsolatum,NA,NA,NA,NA
Loxodon macrorhinus,fishes,NA,Loxodon macrorhinus,NA
Loxodonta africana,mammals,NA,NA,NA
Loxoglypta compta,NA,NA,NA,NA
Loxoglypta transculpta,NA,NA,NA,NA
Loxorhynchus grandis,NA,NA,NA,NA
Loxosomella obesa,NA,NA,NA,NA
Loxostege sticticalis,NA,NA,NA,NA
Loxura atymnus,NA,NA,NA,NA
Lozania mutisiana,vascular plants,Lozania mutisiana Schult.,NA,NA
Lozania pittieri,vascular plants,Lozania pittieri (S.F.Blake) L.B.Sm.,NA,NA
Lubbockia glacialis,NA,NA,NA,NA
Lubbockia squillimana,NA,NA,NA,NA
Lubricogobius ornatus,fishes,NA,Lubricogobius ornatus,NA
Lucania goodei,fishes,NA,Lucania goodei,NA
Lucania parva,fishes,NA,Lucania parva,NA
Lucanus maculifemoratus,NA,NA,NA,NA
Lucapina aegis,NA,NA,NA,NA
Lucapinella limatula,NA,NA,NA,NA
Lucaya bigelowi,NA,NA,NA,NA
Lucernaria quadricornis,NA,NA,NA,NA
Lucernariopsis campanulata,NA,NA,NA,NA
Lucicutia anomala,NA,NA,NA,NA
Lucicutia bicornuta,NA,NA,NA,NA
Lucicutia clausi,NA,NA,NA,NA
Lucicutia curta,NA,NA,NA,NA
Lucicutia ellipsoidalis,NA,NA,NA,NA
Lucicutia flavicornis,NA,NA,NA,NA
Lucicutia frigida,NA,NA,NA,NA
Lucicutia gaussae,NA,NA,NA,NA
Lucicutia gemina,NA,NA,NA,NA
Lucicutia gracilis,NA,NA,NA,NA
Lucicutia grandis,NA,NA,NA,NA
Lucicutia longicornis,NA,NA,NA,NA
Lucicutia longifurca,NA,NA,NA,NA
Lucicutia longiserrata,NA,NA,NA,NA
Lucicutia lucida,NA,NA,NA,NA
Lucicutia magna,NA,NA,NA,NA
Lucicutia oblonga,NA,NA,NA,NA
Lucicutia orientalis,NA,NA,NA,NA
Lucicutia ovaliformis,NA,NA,NA,NA
Lucicutia ovalis,NA,NA,NA,NA
Lucicutia pacifica,NA,NA,NA,NA
Lucicutia parva,NA,NA,NA,NA
Lucicutia pera,NA,NA,NA,NA
Lucicutia polaris,NA,NA,NA,NA
Lucicutia profunda,NA,NA,NA,NA
Lucicutia simulans,NA,NA,NA,NA
Lucicutia tranteri,NA,NA,NA,NA
Lucifer chacei,NA,NA,NA,NA
Lucifer faxoni,NA,NA,NA,NA
Lucifer hanseni,NA,NA,NA,NA
Lucifer typus,NA,NA,NA,NA
Lucigados ori,fishes,NA,NA,NA
Lucigadus nigromaculatus,fishes,NA,Lucigadus nigromaculatus,NA
Lucilia acutifolia,vascular plants,Lucilia acutifolia (Poir.) Cass.,NA,NA
Lucilia nitens,vascular plants,Lucilia nitens Less.,NA,NA
Lucina blanda,NA,NA,NA,NA
Lucina centrifuga,NA,NA,NA,NA
Lucina muricata,NA,NA,NA,NA
Lucina nassula,NA,NA,NA,NA
Lucina pectinata,NA,NA,NA,NA
Lucina radians,NA,NA,NA,NA
Lucina sombrerensis,NA,NA,NA,NA
Lucinidae spa,NA,NA,NA,NA
Lucinisca nuttalli,NA,NA,NA,NA
Lucinoma aequizonatum,NA,NA,NA,NA
Lucinoma annulatum,NA,NA,NA,NA
Lucinoma blakeanum,NA,NA,NA,NA
Lucinoma borealis,NA,NA,NA,NA
Lucinoma filosa,NA,NA,NA,NA
Lucinoma filosum,NA,NA,NA,NA
Luciogobius saikaiensis,fishes,NA,Luciogobius saikaiensis,NA
Luciosudis normani,fishes,NA,Luciosudis normani,NA
Luconacia incerta,NA,NA,NA,NA
Ludwigia curtisii,vascular plants,NA,NA,NA
Ludwigia microcarpa,vascular plants,Ludwigia microcarpa Michx.,NA,NA
Luehdorfia puziloi,NA,NA,NA,NA
Luehea alternifolia,vascular plants,Luehea alternifolia (Mill.) Mabb.,NA,NA
Luehea candicans,vascular plants,Luehea candicans Mart.,NA,NA
Luehea divaricata,vascular plants,Luehea divaricata Mart.,NA,NA
Luehea grandiflora,vascular plants,Luehea grandiflora Mart.,NA,NA
Luehea seemannii,vascular plants,Luehea seemannii Triana & Planch.,NA,NA
Lugensa brevirostris,birds,NA,NA,NA
Lugensa pterodroma,birds,NA,NA,NA
Luguba sessilis,NA,NA,NA,NA
Luidia alternata,NA,NA,NA,NA
Luidia barbadensis,NA,NA,NA,NA
Luidia ciliaris,NA,NA,NA,NA
Luidia clathrata,NA,NA,NA,NA
Luidia elegans,NA,NA,NA,NA
Luidia foliolata,NA,NA,NA,NA
Luidia hardwicki,NA,NA,NA,NA
Luidia maculata,NA,NA,NA,NA
Luidia neozelanica,NA,NA,NA,NA
Luidia sagamina,NA,NA,NA,NA
Luidia sarsi,NA,NA,NA,NA
Luidia senegalensis,NA,NA,NA,NA
Lumbricillus lineatus,NA,NA,NA,NA
Lumbricillus niger,NA,NA,NA,NA
Lumbricillus pagenstecheri,NA,NA,NA,NA
Lumbricillus reynoldsoni,NA,NA,NA,NA
Lumbricillus scoticus,NA,NA,NA,NA
Lumbricillus semifuscus,NA,NA,NA,NA
Lumbricillus tuba,NA,NA,NA,NA
Lumbriclymene minor,NA,NA,NA,NA
Lumbrinereis acicularum,NA,NA,NA,NA
Lumbrinereis acuta,NA,NA,NA,NA
Lumbrinereis fragilis,NA,NA,NA,NA
Lumbrinereis tenuis,NA,NA,NA,NA
Lumbrinerides acuta,NA,NA,NA,NA
Lumbrinerides dayi,NA,NA,NA,NA
Lumbrinerides platypygos,NA,NA,NA,NA
Lumbrineriopsis gardineri,NA,NA,NA,NA
Lumbrineriopsis paradoxa,NA,NA,NA,NA
Lumbrineris acicularum,NA,NA,NA,NA
Lumbrineris acuta,NA,NA,NA,NA
Lumbrineris agastos,NA,NA,NA,NA
Lumbrineris albidentata,NA,NA,NA,NA
Lumbrineris amboinensis,NA,NA,NA,NA
Lumbrineris aniara,NA,NA,NA,NA
Lumbrineris bicirrata,NA,NA,NA,NA
Lumbrineris branchiata,NA,NA,NA,NA
Lumbrineris brevipes,NA,NA,NA,NA
Lumbrineris californica,NA,NA,NA,NA
Lumbrineris californiensis,NA,NA,NA,NA
Lumbrineris candida,NA,NA,NA,NA
Lumbrineris coccinea,NA,NA,NA,NA
Lumbrineris crassicephala,NA,NA,NA,NA
Lumbrineris crassidentata,NA,NA,NA,NA
Lumbrineris cruzensis,NA,NA,NA,NA
Lumbrineris dentata,NA,NA,NA,NA
Lumbrineris erecta,NA,NA,NA,NA
Lumbrineris erectus,NA,NA,NA,NA
Lumbrineris ernesti,NA,NA,NA,NA
Lumbrineris fragilis,NA,NA,NA,NA
Lumbrineris gracilis,NA,NA,NA,NA
Lumbrineris hebes,NA,NA,NA,NA
Lumbrineris hibernica,NA,NA,NA,NA
Lumbrineris impatiens,NA,NA,NA,NA
Lumbrineris index,NA,NA,NA,NA
Lumbrineris inflata,NA,NA,NA,NA
Lumbrineris januarii,NA,NA,NA,NA
Lumbrineris japonica,NA,NA,NA,NA
Lumbrineris labrofimbriata,NA,NA,NA,NA
Lumbrineris latreilli,NA,NA,NA,NA
Lumbrineris latrelli,NA,NA,NA,NA
Lumbrineris limicola,NA,NA,NA,NA
Lumbrineris magalhaensis,NA,NA,NA,NA
Lumbrineris magnidentata,NA,NA,NA,NA
Lumbrineris minuta,NA,NA,NA,NA
Lumbrineris monroi,NA,NA,NA,NA
Lumbrineris pallida,NA,NA,NA,NA
Lumbrineris paradoxa,NA,NA,NA,NA
Lumbrineris parvapedata,NA,NA,NA,NA
Lumbrineris pseudofragilis,NA,NA,NA,NA
Lumbrineris scopa,NA,NA,NA,NA
Lumbrineris spa,NA,NA,NA,NA
Lumbrineris spec,NA,NA,NA,NA
Lumbrineris tenuis,NA,NA,NA,NA
Lumbrineris testudinum,NA,NA,NA,NA
Lumbrineris tetraura,NA,NA,NA,NA
Lumbrineris verrilli,NA,NA,NA,NA
Lumbrineris zonata,NA,NA,NA,NA
Lumiconger arafura,fishes,NA,Lumiconger arafura,NA
Lumpenella longirostris,fishes,NA,Lumpenella longirostris,NA
Lumpenus fabricii,fishes,NA,Lumpenus fabricii,NA
Lumpenus lampretaeformis,fishes,NA,Lumpenus lampretaeformis,NA
Lumpenus lumpretaeformis,fishes,NA,Lumpenus lampretaeformis,NA
Lumpenus maculatus,fishes,NA,Leptoclinus maculatus,NA
Lumpenus sagitta,fishes,NA,Lumpenus sagitta,NA
Lunania parviflora,vascular plants,Lunania parviflora Spruce ex Benth.,NA,NA
Lunatia alderi,NA,NA,NA,NA
Lunatia catena,NA,NA,NA,NA
Lunatia montagui,NA,NA,NA,NA
Lunatia pallida,NA,NA,NA,NA
Lunatia poliana,NA,NA,NA,NA
Lunularia capulus,NA,NA,NA,NA
Lunularia repanda,NA,NA,NA,NA
Luperina testacea,NA,NA,NA,NA
Luperomorpha collaris,NA,NA,NA,NA
Lupinus arcticus,vascular plants,Lupinus arcticus S.Watson,NA,NA
Lupinus brevicaulis,vascular plants,Lupinus brevicaulis S.Watson,NA,NA
Lupinus caudatus,vascular plants,Lupinus caudatus Kellogg,NA,NA
Lupinus coccinus,vascular plants,NA,NA,NA
Lupinus pusillus,vascular plants,Lupinus pusillus Pursh,NA,NA
Lupocyclus rotundatus,NA,NA,NA,NA
Lupocyclus tugelae,NA,NA,NA,NA
Luscina calliope,birds,NA,NA,NA
Luscinia akahige,birds,NA,NA,NA
Luscinia calliope,birds,NA,NA,NA
Luscinia cyane,birds,NA,NA,NA
Luscinia luscinia,birds,NA,NA,Luscinia luscinia
Luscinia svecica,birds,NA,NA,Luscinia svecica
Lutjanus adetii,fishes,NA,Lutjanus adetii,NA
Lutjanus analis,fishes,NA,Lutjanus analis,NA
Lutjanus apodus,fishes,NA,Lutjanus apodus,NA
Lutjanus argentimaculatus,fishes,NA,Lutjanus argentimaculatus,NA
Lutjanus biguttatus,fishes,NA,Lutjanus biguttatus,NA
Lutjanus bitaeniatus,fishes,NA,Lutjanus bitaeniatus,NA
Lutjanus bohar,fishes,NA,Lutjanus bohar,NA
Lutjanus buccanella,fishes,NA,Lutjanus buccanella,NA
Lutjanus campechanus,fishes,NA,Lutjanus campechanus,NA
Lutjanus carponotatus,fishes,NA,Lutjanus carponotatus,NA
Lutjanus cyanopterus,fishes,NA,Lutjanus cyanopterus,NA
Lutjanus decussatus,fishes,NA,Lutjanus decussatus,NA
Lutjanus ehrenbergii,fishes,NA,Lutjanus ehrenbergii,NA
Lutjanus erythropterus,fishes,NA,Lutjanus erythropterus,NA
Lutjanus fulviflamma,fishes,NA,Lutjanus fulviflamma,NA
Lutjanus fulvus,fishes,NA,Lutjanus fulvus,NA
Lutjanus gibbus,fishes,NA,Lutjanus gibbus,NA
Lutjanus griseus,fishes,NA,Lutjanus griseus,NA
Lutjanus jocu,fishes,NA,Lutjanus jocu,NA
Lutjanus kasmira,fishes,NA,Lutjanus kasmira,NA
Lutjanus lemniscatus,fishes,NA,Lutjanus lemniscatus,NA
Lutjanus lutjanus,fishes,NA,Lutjanus lutjanus,NA
Lutjanus mahogoni,fishes,NA,Lutjanus mahogoni,NA
Lutjanus malabaricus,fishes,NA,Lutjanus malabaricus,NA
Lutjanus monostigma,fishes,NA,Lutjanus monostigma,NA
Lutjanus purpureus,fishes,NA,Lutjanus purpureus,NA
Lutjanus quinquelineatus,fishes,NA,Lutjanus quinquelineatus,NA
Lutjanus rivulatus,fishes,NA,Lutjanus rivulatus,NA
Lutjanus rufolineatus,fishes,NA,Lutjanus rufolineatus,NA
Lutjanus russelli,fishes,NA,Lutjanus russellii,NA
Lutjanus russellii,fishes,NA,Lutjanus russellii,NA
Lutjanus sebae,fishes,NA,Lutjanus sebae,NA
Lutjanus semicinctus,fishes,NA,Lutjanus semicinctus,NA
Lutjanus synagris,fishes,NA,Lutjanus synagris,NA
Lutjanus unknown,NA,NA,NA,NA
Lutjanus vitta,fishes,NA,Lutjanus vitta,NA
Lutjanus vivanus,fishes,NA,Lutjanus vivanus,NA
Lutra lutra,mammals,NA,NA,NA
Lutraria angustior,NA,NA,NA,NA
Lutraria australis,NA,NA,NA,NA
Lutraria lutraria,NA,NA,NA,NA
Lutraria magna,NA,NA,NA,NA
Lutrogale perspicillata,mammals,NA,NA,NA
Luxilus chrysocephalus,fishes,NA,Luxilus chrysocephalus,NA
Luxilus coccogenis,fishes,NA,Luxilus coccogenis,NA
Luxilus coccoogenis,fishes,NA,NA,NA
Luxilus cornutus,fishes,NA,Luxilus cornutus,NA
Luzonia walleri,NA,NA,NA,NA
Luzula alpinopilosa,vascular plants,Luzula alpinopilosa (Chaix) Breistr.,NA,NA
Luzula arctica,vascular plants,Luzula nivalis (Laest.) Spreng.,NA,NA
Luzula campestris,vascular plants,Luzula campestris (L.) DC.,NA,NA
Luzula confusa,vascular plants,Luzula confusa Lindeb.,NA,NA
Luzula lutea,vascular plants,Luzula lutea (All.) DC.,NA,NA
Luzula luzulina,vascular plants,Luzula luzulina (Vill.) Racib.,NA,NA
Luzula multiflora,vascular plants,Luzula multiflora (Ehrh.) Lej.,NA,NA
Luzula sieberi,vascular plants,Luzula sylvatica (Huds.) Gaudin,NA,NA
Luzula spicata,vascular plants,Luzula spicata (L.) DC.,NA,NA
Luzula wahlenbergii,vascular plants,Luzula wahlenbergii Rupr.,NA,NA
Lycaea bovalli,NA,NA,NA,NA
Lycaea bovallioides,NA,NA,NA,NA
Lycaea pulex,NA,NA,NA,NA
Lycaeides melissa,NA,NA,NA,NA
Lycaeides villai,NA,NA,NA,NA
Lycaena helloides,NA,NA,NA,NA
Lycaena hyllus,NA,NA,NA,NA
Lycaena phlaeas,NA,NA,NA,NA
Lycaena xanthoides,NA,NA,NA,NA
Lycaeopsis neglecta,NA,NA,NA,NA
Lycaeopsis themistoides,NA,NA,NA,NA
Lycaeopsis zamboangae,NA,NA,NA,NA
Lycenchelys alba,fishes,NA,Lycenchelys alba,NA
Lycenchelys jordani,fishes,NA,Lycenchelys jordani,NA
Lycenchelys kolthoffi,fishes,NA,Lycenchelys kolthoffi,NA
Lycenchelys muraena,fishes,NA,Lycenchelys muraena,NA
Lycenchelys paxillus,fishes,NA,Lycenchelys paxillus,NA
Lycenchelys sarsii,fishes,NA,Lycenchelys sarsii,NA
Lycenchelys verrillii,fishes,NA,Lycenchelys verrillii,NA
Lychnis alpina,vascular plants,Viscaria alpina (L.) G.Don,NA,NA
Lychnis flos-cuculi,vascular plants,Lychnis flos-cuculi L.,NA,NA
Lychnis viscaria,vascular plants,Viscaria vulgaris Bernh.,NA,NA
Lycianthes maxonii,vascular plants,Lycianthes maxonii Standl.,NA,NA
Lycium pallidum,vascular plants,Lycium pallidum Miers,NA,NA
Lycodapus antarcticus,fishes,NA,Lycodapus antarcticus,NA
Lycodapus fierasfer,fishes,NA,Lycodapus fierasfer,NA
Lycodapus mandibularis,fishes,NA,Lycodapus mandibularis,NA
Lycodes adolfi,fishes,NA,Lycodes adolfi,NA
Lycodes atlanticus,fishes,NA,Lycodes terraenovae,NA
Lycodes brevipes,fishes,NA,Lycodes brevipes,NA
Lycodes concolor,fishes,NA,Lycodes concolor,NA
Lycodes cortezianus,fishes,NA,Lycodes cortezianus,NA
Lycodes crassiceps,fishes,NA,Pachycara crassiceps,NA
Lycodes diapterus,fishes,NA,Lycodes diapterus,NA
Lycodes esmarkii,fishes,NA,Lycodes esmarkii,NA
Lycodes eudipleurostictus,fishes,NA,Lycodes eudipleurostictus,NA
Lycodes frigidus,fishes,NA,Lycodes frigidus,NA
Lycodes lavalaei,fishes,NA,Lycodes lavalaei,NA
Lycodes luetkenii,fishes,NA,Lycodes luetkenii,NA
Lycodes mcallisteri,fishes,NA,Lycodes mcallisteri,NA
Lycodes paamiuti,fishes,NA,Lycodes paamiuti,NA
Lycodes pacificus,fishes,NA,Lycodes pacificus,NA
Lycodes palearis,fishes,NA,Lycodes palearis,NA
Lycodes pallidus,fishes,NA,Lycodes pallidus,NA
Lycodes polaris,fishes,NA,Lycodes polaris,NA
Lycodes raridens,fishes,NA,Lycodes raridens,NA
Lycodes reticulatus,fishes,NA,Lycodes reticulatus,NA
Lycodes rossi,fishes,NA,Lycodes rossi,NA
Lycodes seminudus,fishes,NA,Lycodes seminudus,NA
Lycodes squamiventer,fishes,NA,Lycodes squamiventer,NA
Lycodes terraenovae,fishes,NA,Lycodes terraenovae,NA
Lycodes vahlii,fishes,NA,Lycodes vahlii,NA
Lycodonus mirabilis,fishes,NA,Lycodonus mirabilis,NA
Lyconectes aleutensis,fishes,NA,Cryptacanthodes aleutensis,NA
Lycoperdina dux,NA,NA,NA,NA
Lycophotia porphyrea,NA,NA,NA,NA
Lycopus americanus,vascular plants,Lycopus americanus Muhl. ex W.P.C.Barton,NA,NA
Lycoteuthis lorigera,NA,NA,NA,NA
Lyctus brunneus,NA,NA,NA,NA
Lycurus phleoides,vascular plants,Lycurus phleoides Kunth,NA,NA
Lygdamis indicus,NA,NA,NA,NA
Lygdamis muratus,NA,NA,NA,NA
Lygdamis nesiotus,NA,NA,NA,NA
Lygephila pastinum,NA,NA,NA,NA
Lymantria monacha,NA,NA,NA,NA
Lyncina vitellus,NA,NA,NA,NA
Lyngbya circumcreta,NA,NA,NA,NA
Lyngbya contorta,NA,NA,NA,NA
Lyngbya lagerheimia,NA,NA,NA,NA
Lyngbya limnetica,NA,NA,NA,NA
Lyngbya majuscula,NA,NA,NA,NA
Lyngbya subtilis,NA,NA,NA,NA
Lyonetia clerkella,NA,NA,NA,NA
Lyonsia arenosa,NA,NA,NA,NA
Lyonsia beana,NA,NA,NA,NA
Lyonsia californica,NA,NA,NA,NA
Lyonsia floridana,NA,NA,NA,NA
Lyonsia hyalina,NA,NA,NA,NA
Lyonsia norwegica,NA,NA,NA,NA
Lyonsiella abyssicola,NA,NA,NA,NA
Lyopsetta exilis,fishes,NA,Lyopsetta exilis,NA
Lype reducta,NA,NA,NA,NA
Lyreidus bairdi,NA,NA,NA,NA
Lyria deliciosa,NA,NA,NA,NA
Lyrocteis imperatoris,NA,NA,NA,NA
Lyropecten nodosus,NA,NA,NA,NA
Lysandra bellargus,NA,NA,NA,NA
Lysandra coridon,NA,NA,NA,NA
Lysarete brasiliensis,NA,NA,NA,NA
Lysianassa ceratina,NA,NA,NA,NA
Lysianassa ewa,NA,NA,NA,NA
Lysianassa plumosa,NA,NA,NA,NA
Lysianassidae spa,NA,NA,NA,NA
Lysianopsis alba,NA,NA,NA,NA
Lysianopsis spa,NA,NA,NA,NA
Lysidice collaris,NA,NA,NA,NA
Lysidice ninetta,NA,NA,NA,NA
Lysidice notata,NA,NA,NA,NA
Lysilla alba,NA,NA,NA,NA
Lysilla loveni,NA,NA,NA,NA
Lysimachia nummularia,vascular plants,Lysimachia nummularia L.,NA,NA
Lysimachia vulgaris,vascular plants,Lysimachia vulgaris L.,NA,NA
Lysiosquilla scabricauda,NA,NA,NA,NA
Lysiosquilloides siamensis,NA,NA,NA,NA
Lysippe annectens,NA,NA,NA,NA
Lysippe labiata,NA,NA,NA,NA
Lysmata boggessi,NA,NA,NA,NA
Lysmata grabhami,NA,NA,NA,NA
Lysmata intermedia,NA,NA,NA,NA
Lysmata rathbunae,NA,NA,NA,NA
Lysmata wurdemanni,NA,NA,NA,NA
Lytechinus anamesus,NA,NA,NA,NA
Lytechinus pictus,NA,NA,NA,NA
Lytechinus variegatus,NA,NA,NA,NA
Lythrum alatum,vascular plants,Lythrum alatum Pursh,NA,NA
Lythrum salicaria,vascular plants,Lythrum salicaria L.,NA,NA
Lythrypnus dalli,fishes,NA,Lythrypnus dalli,NA
Lythrypnus nesiotes,fishes,NA,Lythrypnus nesiotes,NA
Lytocarpia myriophyllum,NA,NA,NA,NA
Mabea fistulifera,vascular plants,Mabea fistulifera Mart.,NA,NA
Macaca fuscata,mammals,NA,NA,NA
Macandrewia azorica,NA,NA,NA,NA
Macaranga conifera,vascular plants,Macaranga conifera (Rchb.f. & Zoll.) Müll.Arg.,NA,NA
Macaranga gigantea,vascular plants,Macaranga gigantea (Rchb.f. & Zoll.) Müll.Arg.,NA,NA
Macaranga hosei,vascular plants,Macaranga hosei King ex Hook.f.,NA,NA
Macaranga hypoleuca,vascular plants,Macaranga hypoleuca (Rchb.f. & Zoll.) Müll.Arg.,NA,NA
Macaranga inamoena,vascular plants,Macaranga inamoena F.Muell. ex Benth.,NA,NA
Macaranga lowii,vascular plants,Macaranga lowii King ex Hook.f.,NA,NA
Macaranga peltata,vascular plants,Macaranga peltata (Roxb.) Müll.Arg.,NA,NA
Macaranga recurvata,vascular plants,Macaranga recurvata Gage,NA,NA
Macaranga subdentata,vascular plants,Macaranga subdentata Benth.,NA,NA
Macaria liturata,NA,NA,NA,NA
Macaria notata,NA,NA,NA,NA
Macaria wauaria,NA,NA,NA,NA
Macaroni penguin,NA,NA,NA,NA
Macdunnoughia confusa,NA,NA,NA,NA
Machaeranthera canescens,vascular plants,Dieteria canescens (Pursh) Nutt.,NA,NA
Machaeranthera gracilis,vascular plants,Xanthisma gracile (Nutt.) D.R.Morgan & R.L.Hartm.,NA,NA
Machaeranthera pinnatifida,vascular plants,Xanthisma spinulosum (Pursh) D.R.Morgan & R.L.Hartm.,NA,NA
Machaeranthera tanacetifolia,vascular plants,Machaeranthera tanacetifolia (Kunth) Nees,NA,NA
Machaeranthera tanreafolia,vascular plants,NA,NA,NA
Machaerium aculeatum,vascular plants,Machaerium aculeatum Raddi,NA,NA
Machaerium acutifolium,vascular plants,Machaerium acutifolium Vogel,NA,NA
Machaerium brasiliense,vascular plants,Machaerium brasiliense Vogel,NA,NA
Machaerium brasiliensis,vascular plants,NA,NA,NA
Machaerium hirtum,vascular plants,Machaerium isadelphum (E.Mey.) Standl.,NA,NA
Machaerium nyctitans,vascular plants,Machaerium nyctitans (Vell.) Benth.,NA,NA
Machaerium opacum,vascular plants,Machaerium opacum Vogel,NA,NA
Machaerium paraguariense,vascular plants,Machaerium paraguariense Hassl.,NA,NA
Machaerium stipitatum,vascular plants,Machaerium stipitatum (DC.) Vogel,NA,NA
Machaerium villosum,vascular plants,Machaerium villosum Vogel,NA,NA
